date,sku,family,qty,unit_cost
2023-05,SKU1_002,FAM1,23,5.8
2023-06,SKU1_002,FAM1,16,5.8
2023-07,SKU1_002,FAM1,17,5.8
2023-08,SKU1_002,FAM1,15,5.8
2023-09,SKU1_002,FAM1,17,5.8
2023-10,SKU1_002,FAM1,17,5.8
2023-11,SKU1_002,FAM1,23,5.8
2023-12,SKU1_002,FAM1,15,5.8
2024-01,SKU1_002,FAM1,15,5.8
2024-02,SKU1_002,FAM1,18,5.8
2024-03,SKU1_002,FAM1,19,5.8
2024-04,SKU1_002,FAM1,22,5.8
2024-05,SKU1_002,FAM1,21,5.8
2024-06,SKU1_002,FAM1,19,5.8
2024-07,SKU1_002,FAM1,18,5.8
2024-08,SKU1_002,FAM1,20,5.8
2024-09,SKU1_002,FAM1,16,5.8
2024-10,SKU1_002,FAM1,17,5.8
2024-11,SKU1_002,FAM1,15,5.8
2024-12,SKU1_002,FAM1,18,5.8
2022-01,SKU1_003,FAM1,17,6.39
2022-02,SKU1_003,FAM1,22,6.39
2022-03,SKU1_003,FAM1,17,6.39
2022-04,SKU1_003,FAM1,18,6.39
2022-05,SKU1_003,FAM1,18,6.39
2022-06,SKU1_003,FAM1,15,6.39
2022-07,SKU1_003,FAM1,21,6.39
2022-08,SKU1_003,FAM1,20,6.39
2022-09,SKU1_003,FAM1,20,6.39
2022-10,SKU1_003,FAM1,16,6.39
2022-11,SKU1_003,FAM1,21,6.39
2022-12,SKU1_003,FAM1,15,6.39
2023-01,SKU1_003,FAM1,20,6.39
2023-02,SKU1_003,FAM1,23,6.39
2023-03,SKU1_003,FAM1,21,6.39
2023-04,SKU1_003,FAM1,17,6.39
2023-05,SKU1_003,FAM1,18,6.39
2023-06,SKU1_003,FAM1,17,6.39
2023-07,SKU1_003,FAM1,14,6.39
2023-08,SKU1_003,FAM1,18,6.39
2023-09,SKU1_003,FAM1,15,6.39
2023-10,SKU1_003,FAM1,18,6.39
2023-11,SKU1_003,FAM1,15,6.39
2023-12,SKU1_003,FAM1,21,6.39
2024-01,SKU1_003,FAM1,15,6.39
2024-02,SKU1_003,FAM1,16,6.39
2024-03,SKU1_003,FAM1,19,6.39
2024-04,SKU1_003,FAM1,14,6.39
2024-05,SKU1_003,FAM1,18,6.39
2024-06,SKU1_003,FAM1,20,6.39
2024-07,SKU1_003,FAM1,14,6.39
2024-08,SKU1_003,FAM1,23,6.39
2024-09,SKU1_003,FAM1,19,6.39
2024-10,SKU1_003,FAM1,20,6.39
2024-11,SKU1_003,FAM1,16,6.39
2024-12,SKU1_003,FAM1,16,6.39
2022-01,SKU1_004,FAM1,0,6.92
2022-02,SKU1_004,FAM1,17,6.92
2022-03,SKU1_004,FAM1,19,6.92
2022-04,SKU1_004,FAM1,14,6.92
2022-05,SKU1_004,FAM1,18,6.92
2022-06,SKU1_004,FAM1,19,6.92
2022-07,SKU1_004,FAM1,18,6.92
2022-08,SKU1_004,FAM1,0,6.92
2022-09,SKU1_004,FAM1,0,6.92
2022-10,SKU1_004,FAM1,30,6.92
2022-11,SKU1_004,FAM1,0,6.92
2022-12,SKU1_004,FAM1,0,6.92
2023-01,SKU1_004,FAM1,18,6.92
2023-02,SKU1_004,FAM1,0,6.92
2023-03,SKU1_004,FAM1,22,6.92
2023-04,SKU1_004,FAM1,0,6.92
2023-05,SKU1_004,FAM1,14,6.92
2023-06,SKU1_004,FAM1,17,6.92
2023-07,SKU1_004,FAM1,19,6.92
2023-08,SKU1_004,FAM1,19,6.92
2023-09,SKU1_004,FAM1,0,6.92
2023-10,SKU1_004,FAM1,18,6.92
2023-11,SKU1_004,FAM1,22,6.92
2023-12,SKU1_004,FAM1,21,6.92
2024-01,SKU1_004,FAM1,15,6.92
2024-02,SKU1_004,FAM1,0,6.92
2024-03,SKU1_004,FAM1,17,6.92
2024-04,SKU1_004,FAM1,14,6.92
2024-05,SKU1_004,FAM1,15,6.92
2024-06,SKU1_004,FAM1,14,6.92
2024-07,SKU1_004,FAM1,22,6.92
2024-08,SKU1_004,FAM1,21,6.92
2024-09,SKU1_004,FAM1,16,6.92
2024-10,SKU1_004,FAM1,16,6.92
2024-11,SKU1_004,FAM1,0,6.92
2024-12,SKU1_004,FAM1,18,6.92
2022-01,SKU1_005,FAM1,18,6.1
2022-02,SKU1_005,FAM1,19,6.1
2022-03,SKU1_005,FAM1,16,6.1
2022-04,SKU1_005,FAM1,18,6.1
2022-05,SKU1_005,FAM1,11,6.1
2022-06,SKU1_005,FAM1,16,6.1
2022-07,SKU1_005,FAM1,18,6.1
2022-08,SKU1_005,FAM1,16,6.1
2022-09,SKU1_005,FAM1,22,6.1
2022-10,SKU1_005,FAM1,16,6.1
2022-11,SKU1_005,FAM1,18,6.1
2022-12,SKU1_005,FAM1,19,6.1
2023-01,SKU1_005,FAM1,22,6.1
2023-02,SKU1_005,FAM1,15,6.1
2023-03,SKU1_005,FAM1,21,6.1
2023-04,SKU1_005,FAM1,18,6.1
2023-05,SKU1_005,FAM1,16,6.1
2023-06,SKU1_005,FAM1,19,6.1
2023-07,SKU1_005,FAM1,18,6.1
2023-08,SKU1_005,FAM1,30,6.1
2023-09,SKU1_005,FAM1,18,6.1
2023-10,SKU1_005,FAM1,17,6.1
2023-11,SKU1_005,FAM1,18,6.1
2023-12,SKU1_005,FAM1,19,6.1
2024-01,SKU1_005,FAM1,21,6.1
2024-02,SKU1_005,FAM1,25,6.1
2024-03,SKU1_005,FAM1,22,6.1
2024-04,SKU1_005,FAM1,13,6.1
2024-05,SKU1_005,FAM1,17,6.1
2024-06,SKU1_005,FAM1,19,6.1
2024-07,SKU1_005,FAM1,19,6.1
2024-08,SKU1_005,FAM1,17,6.1
2024-09,SKU1_005,FAM1,18,6.1
2024-10,SKU1_005,FAM1,18,6.1
2024-11,SKU1_005,FAM1,18,6.1
2024-12,SKU1_005,FAM1,21,6.1
2022-01,SKU1_006,FAM1,18,6.99
2022-02,SKU1_006,FAM1,17,6.99
2022-03,SKU1_006,FAM1,17,6.99
2022-04,SKU1_006,FAM1,22,6.99
2022-05,SKU1_006,FAM1,16,6.99
2022-06,SKU1_006,FAM1,18,6.99
2022-07,SKU1_006,FAM1,28,6.99
2022-08,SKU1_006,FAM1,17,6.99
2022-09,SKU1_006,FAM1,16,6.99
2022-10,SKU1_006,FAM1,20,6.99
2022-11,SKU1_006,FAM1,23,6.99
2022-12,SKU1_006,FAM1,20,6.99
2023-01,SKU1_006,FAM1,19,6.99
2023-02,SKU1_006,FAM1,19,6.99
2023-03,SKU1_006,FAM1,18,6.99
2023-04,SKU1_006,FAM1,21,6.99
2023-05,SKU1_006,FAM1,17,6.99
2023-06,SKU1_006,FAM1,20,6.99
2023-07,SKU1_006,FAM1,15,6.99
2023-08,SKU1_006,FAM1,18,6.99
2023-09,SKU1_006,FAM1,20,6.99
2023-10,SKU1_006,FAM1,18,6.99
2023-11,SKU1_006,FAM1,17,6.99
2023-12,SKU1_006,FAM1,19,6.99
2024-01,SKU1_006,FAM1,18,6.99
2024-02,SKU1_006,FAM1,19,6.99
2024-03,SKU1_006,FAM1,21,6.99
2024-04,SKU1_006,FAM1,16,6.99
2024-05,SKU1_006,FAM1,13,6.99
2024-06,SKU1_006,FAM1,17,6.99
2024-07,SKU1_006,FAM1,16,6.99
2024-08,SKU1_006,FAM1,20,6.99
2024-09,SKU1_006,FAM1,17,6.99
2024-10,SKU1_006,FAM1,15,6.99
2024-11,SKU1_006,FAM1,18,6.99
2024-12,SKU1_006,FAM1,16,6.99
2022-01,SKU1_007,FAM1,21,6.94
2022-02,SKU1_007,FAM1,16,6.94
2022-03,SKU1_007,FAM1,18,6.94
2022-04,SKU1_007,FAM1,17,6.94
2022-05,SKU1_007,FAM1,18,6.94
2022-06,SKU1_007,FAM1,17,6.94
2022-07,SKU1_007,FAM1,20,6.94
2022-08,SKU1_007,FAM1,17,6.94
2022-09,SKU1_007,FAM1,16,6.94
2022-10,SKU1_007,FAM1,18,6.94
2022-11,SKU1_007,FAM1,17,6.94
2022-12,SKU1_007,FAM1,27,6.94
2023-01,SKU1_007,FAM1,18,6.94
2023-02,SKU1_007,FAM1,15,6.94
2023-03,SKU1_007,FAM1,23,6.94
2023-04,SKU1_007,FAM1,16,6.94
2023-05,SKU1_007,FAM1,17,6.94
2023-06,SKU1_007,FAM1,18,6.94
2023-07,SKU1_007,FAM1,22,6.94
2023-08,SKU1_007,FAM1,14,6.94
2023-09,SKU1_007,FAM1,18,6.94
2023-10,SKU1_007,FAM1,20,6.94
2023-11,SKU1_007,FAM1,17,6.94
2023-12,SKU1_007,FAM1,24,6.94
2024-01,SKU1_007,FAM1,18,6.94
2024-02,SKU1_007,FAM1,21,6.94
2024-03,SKU1_007,FAM1,17,6.94
2024-04,SKU1_007,FAM1,21,6.94
2024-05,SKU1_007,FAM1,19,6.94
2024-06,SKU1_007,FAM1,21,6.94
2024-07,SKU1_007,FAM1,19,6.94
2024-08,SKU1_007,FAM1,17,6.94
2024-09,SKU1_007,FAM1,22,6.94
2024-10,SKU1_007,FAM1,19,6.94
2024-11,SKU1_007,FAM1,20,6.94
2024-12,SKU1_007,FAM1,21,6.94
2022-01,SKU1_008,FAM1,0,6.78
2022-02,SKU1_008,FAM1,19,6.78
2022-03,SKU1_008,FAM1,21,6.78
2022-04,SKU1_008,FAM1,0,6.78
2022-05,SKU1_008,FAM1,16,6.78
2022-06,SKU1_008,FAM1,14,6.78
2022-07,SKU1_008,FAM1,0,6.78
2022-08,SKU1_008,FAM1,21,6.78
2022-09,SKU1_008,FAM1,23,6.78
2022-10,SKU1_008,FAM1,19,6.78
2022-11,SKU1_008,FAM1,0,6.78
2022-12,SKU1_008,FAM1,0,6.78
2023-01,SKU1_008,FAM1,16,6.78
2023-02,SKU1_008,FAM1,30,6.78
2023-03,SKU1_008,FAM1,20,6.78
2023-04,SKU1_008,FAM1,19,6.78
2023-05,SKU1_008,FAM1,14,6.78
2023-06,SKU1_008,FAM1,19,6.78
2023-07,SKU1_008,FAM1,0,6.78
2023-08,SKU1_008,FAM1,20,6.78
2023-09,SKU1_008,FAM1,19,6.78
2023-10,SKU1_008,FAM1,16,6.78
2023-11,SKU1_008,FAM1,17,6.78
2023-12,SKU1_008,FAM1,16,6.78
2024-01,SKU1_008,FAM1,0,6.78
2024-02,SKU1_008,FAM1,20,6.78
2024-03,SKU1_008,FAM1,16,6.78
2024-04,SKU1_008,FAM1,0,6.78
2024-05,SKU1_008,FAM1,17,6.78
2024-06,SKU1_008,FAM1,17,6.78
2024-07,SKU1_008,FAM1,0,6.78
2024-08,SKU1_008,FAM1,26,6.78
2024-09,SKU1_008,FAM1,0,6.78
2024-10,SKU1_008,FAM1,17,6.78
2024-11,SKU1_008,FAM1,0,6.78
2024-12,SKU1_008,FAM1,20,6.78
2022-01,SKU1_009,FAM1,20,6.99
2022-02,SKU1_009,FAM1,18,6.99
2022-03,SKU1_009,FAM1,22,6.99
2022-04,SKU1_009,FAM1,18,6.99
2022-05,SKU1_009,FAM1,20,6.99
2022-06,SKU1_009,FAM1,21,6.99
2022-07,SKU1_009,FAM1,15,6.99
2022-08,SKU1_009,FAM1,25,6.99
2022-09,SKU1_009,FAM1,18,6.99
2022-10,SKU1_009,FAM1,21,6.99
2022-11,SKU1_009,FAM1,21,6.99
2022-12,SKU1_009,FAM1,18,6.99
2023-01,SKU1_009,FAM1,24,6.99
2023-02,SKU1_009,FAM1,20,6.99
2023-03,SKU1_009,FAM1,19,6.99
2023-04,SKU1_009,FAM1,20,6.99
2023-05,SKU1_009,FAM1,21,6.99
2023-06,SKU1_009,FAM1,19,6.99
2023-07,SKU1_009,FAM1,21,6.99
2023-08,SKU1_009,FAM1,15,6.99
2023-09,SKU1_009,FAM1,17,6.99
2023-10,SKU1_009,FAM1,14,6.99
2023-11,SKU1_009,FAM1,23,6.99
2023-12,SKU1_009,FAM1,23,6.99
2024-01,SKU1_009,FAM1,20,6.99
2024-02,SKU1_009,FAM1,16,6.99
2024-03,SKU1_009,FAM1,36,6.99
2024-04,SKU1_009,FAM1,17,6.99
2024-05,SKU1_009,FAM1,18,6.99
2024-06,SKU1_009,FAM1,19,6.99
2024-07,SKU1_009,FAM1,20,6.99
2024-08,SKU1_009,FAM1,20,6.99
2024-09,SKU1_009,FAM1,21,6.99
2024-10,SKU1_009,FAM1,19,6.99
2024-11,SKU1_009,FAM1,21,6.99
2024-12,SKU1_009,FAM1,26,6.99
2022-01,SKU1_010,FAM1,14,7.74
2022-02,SKU1_010,FAM1,17,7.74
2022-03,SKU1_010,FAM1,21,7.74
2022-04,SKU1_010,FAM1,21,7.74
2022-05,SKU1_010,FAM1,23,7.74
2022-06,SKU1_010,FAM1,19,7.74
2022-07,SKU1_010,FAM1,21,7.74
2022-08,SKU1_010,FAM1,22,7.74
2022-09,SKU1_010,FAM1,19,7.74
2022-10,SKU1_010,FAM1,21,7.74
2022-11,SKU1_010,FAM1,21,7.74
2022-12,SKU1_010,FAM1,18,7.74
2023-01,SKU1_010,FAM1,23,7.74
2023-02,SKU1_010,FAM1,20,7.74
2023-03,SKU1_010,FAM1,20,7.74
2023-04,SKU1_010,FAM1,17,7.74
2023-05,SKU1_010,FAM1,18,7.74
2023-06,SKU1_010,FAM1,14,7.74
2023-07,SKU1_010,FAM1,19,7.74
2023-08,SKU1_010,FAM1,24,7.74
2023-09,SKU1_010,FAM1,17,7.74
2023-10,SKU1_010,FAM1,25,7.74
2023-11,SKU1_010,FAM1,22,7.74
2023-12,SKU1_010,FAM1,17,7.74
2024-01,SKU1_010,FAM1,19,7.74
2024-02,SKU1_010,FAM1,18,7.74
2024-03,SKU1_010,FAM1,22,7.74
2024-04,SKU1_010,FAM1,20,7.74
2024-05,SKU1_010,FAM1,21,7.74
2024-06,SKU1_010,FAM1,20,7.74
2024-07,SKU1_010,FAM1,32,7.74
2024-08,SKU1_010,FAM1,20,7.74
2024-09,SKU1_010,FAM1,18,7.74
2024-10,SKU1_010,FAM1,16,7.74
2024-11,SKU1_010,FAM1,22,7.74
2024-12,SKU1_010,FAM1,22,7.74
2022-01,SKU2_001,FAM2,27,6.7
2022-02,SKU2_001,FAM2,23,6.7
2022-03,SKU2_001,FAM2,21,6.7
2022-04,SKU2_001,FAM2,22,6.7
2022-05,SKU2_001,FAM2,25,6.7
2022-06,SKU2_001,FAM2,22,6.7
2022-07,SKU2_001,FAM2,25,6.7
2022-08,SKU2_001,FAM2,18,6.7
2022-09,SKU2_001,FAM2,23,6.7
2022-10,SKU2_001,FAM2,25,6.7
2022-11,SKU2_001,FAM2,40,6.7
2022-12,SKU2_001,FAM2,22,6.7
2023-01,SKU2_001,FAM2,20,6.7
2023-02,SKU2_001,FAM2,23,6.7
2023-03,SKU2_001,FAM2,21,6.7
2023-04,SKU2_001,FAM2,23,6.7
2023-05,SKU2_001,FAM2,24,6.7
2023-06,SKU2_001,FAM2,20,6.7
2023-07,SKU2_001,FAM2,25,6.7
2023-08,SKU2_001,FAM2,23,6.7
2023-09,SKU2_001,FAM2,26,6.7
2023-10,SKU2_001,FAM2,19,6.7
2023-11,SKU2_001,FAM2,21,6.7
2023-12,SKU2_001,FAM2,24,6.7
2024-01,SKU2_001,FAM2,21,6.7
2024-02,SKU2_001,FAM2,33,6.7
2024-03,SKU2_001,FAM2,23,6.7
2024-04,SKU2_001,FAM2,24,6.7
2024-05,SKU2_001,FAM2,22,6.7
2024-06,SKU2_001,FAM2,24,6.7
2024-07,SKU2_001,FAM2,22,6.7
2024-08,SKU2_001,FAM2,26,6.7
2024-09,SKU2_001,FAM2,24,6.7
2024-10,SKU2_001,FAM2,25,6.7
2024-11,SKU2_001,FAM2,31,6.7
2024-12,SKU2_001,FAM2,23,6.7
2022-01,SKU2_002,FAM2,23,6.64
2022-02,SKU2_002,FAM2,19,6.64
2022-03,SKU2_002,FAM2,21,6.64
2022-04,SKU2_002,FAM2,22,6.64
2022-05,SKU2_002,FAM2,25,6.64
2022-06,SKU2_002,FAM2,21,6.64
2022-07,SKU2_002,FAM2,24,6.64
2022-08,SKU2_002,FAM2,24,6.64
2022-09,SKU2_002,FAM2,28,6.64
2022-10,SKU2_002,FAM2,21,6.64
2022-11,SKU2_002,FAM2,30,6.64
2022-12,SKU2_002,FAM2,22,6.64
2023-01,SKU2_002,FAM2,20,6.64
2023-02,SKU2_002,FAM2,28,6.64
2023-03,SKU2_002,FAM2,21,6.64
2023-04,SKU2_002,FAM2,22,6.64
2023-05,SKU2_002,FAM2,27,6.64
2023-06,SKU2_002,FAM2,19,6.64
2023-07,SKU2_002,FAM2,25,6.64
2023-08,SKU2_002,FAM2,20,6.64
2023-09,SKU2_002,FAM2,26,6.64
2023-10,SKU2_002,FAM2,18,6.64
2023-11,SKU2_002,FAM2,19,6.64
2023-12,SKU2_002,FAM2,22,6.64
2024-01,SKU2_002,FAM2,26,6.64
2024-02,SKU2_002,FAM2,23,6.64
2024-03,SKU2_002,FAM2,23,6.64
2024-04,SKU2_002,FAM2,39,6.64
2024-05,SKU2_002,FAM2,29,6.64
2024-06,SKU2_002,FAM2,25,6.64
2024-07,SKU2_002,FAM2,23,6.64
2024-08,SKU2_002,FAM2,23,6.64
2024-09,SKU2_002,FAM2,22,6.64
2024-10,SKU2_002,FAM2,25,6.64
2024-11,SKU2_002,FAM2,21,6.64
2024-12,SKU2_002,FAM2,27,6.64
2022-01,SKU2_003,FAM2,23,6.42
2022-02,SKU2_003,FAM2,18,6.42
2022-03,SKU2_003,FAM2,27,6.42
2022-04,SKU2_003,FAM2,22,6.42
2022-05,SKU2_003,FAM2,30,6.42
2022-06,SKU2_003,FAM2,24,6.42
2022-07,SKU2_003,FAM2,25,6.42
2022-08,SKU2_003,FAM2,20,6.42
2022-09,SKU2_003,FAM2,24,6.42
2022-10,SKU2_003,FAM2,22,6.42
2022-11,SKU2_003,FAM2,20,6.42
2022-12,SKU2_003,FAM2,27,6.42
2023-01,SKU2_003,FAM2,23,6.42
2023-02,SKU2_003,FAM2,25,6.42
2023-03,SKU2_003,FAM2,25,6.42
2023-04,SKU2_003,FAM2,23,6.42
2023-05,SKU2_003,FAM2,29,6.42
2023-06,SKU2_003,FAM2,24,6.42
2023-07,SKU2_003,FAM2,20,6.42
2023-08,SKU2_003,FAM2,23,6.42
2023-09,SKU2_003,FAM2,25,6.42
2023-10,SKU2_003,FAM2,25,6.42
2023-11,SKU2_003,FAM2,21,6.42
2023-12,SKU2_003,FAM2,26,6.42
2024-01,SKU2_003,FAM2,19,6.42
2024-02,SKU2_003,FAM2,26,6.42
2024-03,SKU2_003,FAM2,20,6.42
2024-04,SKU2_003,FAM2,35,6.42
2024-05,SKU2_003,FAM2,26,6.42
2024-06,SKU2_003,FAM2,24,6.42
2024-07,SKU2_003,FAM2,26,6.42
2024-08,SKU2_003,FAM2,26,6.42
2024-09,SKU2_003,FAM2,28,6.42
2024-10,SKU2_003,FAM2,28,6.42
2024-11,SKU2_003,FAM2,24,6.42
2024-12,SKU2_003,FAM2,27,6.42
2022-01,SKU2_004,FAM2,24,6.76
2022-02,SKU2_004,FAM2,22,6.76
2022-03,SKU2_004,FAM2,17,6.76
2022-04,SKU2_004,FAM2,38,6.76
2022-05,SKU2_004,FAM2,27,6.76
2022-06,SKU2_004,FAM2,19,6.76
2022-07,SKU2_004,FAM2,24,6.76
2022-08,SKU2_004,FAM2,0,6.76
2022-09,SKU2_004,FAM2,27,6.76
2022-10,SKU2_004,FAM2,26,6.76
2022-11,SKU2_004,FAM2,0,6.76
2022-12,SKU2_004,FAM2,26,6.76
2023-01,SKU2_004,FAM2,0,6.76
2023-02,SKU2_004,FAM2,0,6.76
2023-03,SKU2_004,FAM2,25,6.76
2023-04,SKU2_004,FAM2,0,6.76
2023-05,SKU2_004,FAM2,38,6.76
2023-06,SKU2_004,FAM2,24,6.76
2023-07,SKU2_004,FAM2,24,6.76
2023-08,SKU2_004,FAM2,23,6.76
2023-09,SKU2_004,FAM2,0,6.76
2023-10,SKU2_004,FAM2,25,6.76
2023-11,SKU2_004,FAM2,22,6.76
2023-12,SKU2_004,FAM2,23,6.76
2024-01,SKU2_004,FAM2,24,6.76
2024-02,SKU2_004,FAM2,19,6.76
2024-03,SKU2_004,FAM2,19,6.76
2024-04,SKU2_004,FAM2,23,6.76
2024-05,SKU2_004,FAM2,25,6.76
2024-06,SKU2_004,FAM2,26,6.76
2024-07,SKU2_004,FAM2,21,6.76
2024-08,SKU2_004,FAM2,26,6.76
2024-09,SKU2_004,FAM2,0,6.76
2024-10,SKU2_004,FAM2,23,6.76
2024-11,SKU2_004,FAM2,24,6.76
2024-12,SKU2_004,FAM2,28,6.76
2022-01,SKU2_005,FAM2,18,7.49
2022-02,SKU2_005,FAM2,24,7.49
2022-03,SKU2_005,FAM2,23,7.49
2022-04,SKU2_005,FAM2,24,7.49
2022-05,SKU2_005,FAM2,26,7.49
2022-06,SKU2_005,FAM2,25,7.49
2022-07,SKU2_005,FAM2,25,7.49
2022-08,SKU2_005,FAM2,26,7.49
2022-09,SKU2_005,FAM2,32,7.49
2022-10,SKU2_005,FAM2,26,7.49
2022-11,SKU2_005,FAM2,27,7.49
2022-12,SKU2_005,FAM2,28,7.49
2023-01,SKU2_005,FAM2,23,7.49
2023-02,SKU2_005,FAM2,26,7.49
2023-03,SKU2_005,FAM2,24,7.49
2023-04,SKU2_005,FAM2,28,7.49
2023-05,SKU2_005,FAM2,23,7.49
2023-06,SKU2_005,FAM2,25,7.49
2023-07,SKU2_005,FAM2,25,7.49
2023-08,SKU2_005,FAM2,25,7.49
2023-09,SKU2_005,FAM2,23,7.49
2023-10,SKU2_005,FAM2,24,7.49
2023-11,SKU2_005,FAM2,26,7.49
2023-12,SKU2_005,FAM2,20,7.49
2024-01,SKU2_005,FAM2,24,7.49
2024-02,SKU2_005,FAM2,24,7.49
2024-03,SKU2_005,FAM2,26,7.49
2024-04,SKU2_005,FAM2,21,7.49
2024-05,SKU2_005,FAM2,28,7.49
2024-06,SKU2_005,FAM2,25,7.49
2024-07,SKU2_005,FAM2,25,7.49
2024-08,SKU2_005,FAM2,24,7.49
2024-09,SKU2_005,FAM2,27,7.49
2024-10,SKU2_005,FAM2,26,7.49
2024-11,SKU2_005,FAM2,29,7.49
2024-12,SKU2_005,FAM2,23,7.49
2022-01,SKU2_006,FAM2,19,6.67
2022-02,SKU2_006,FAM2,17,6.67
2022-03,SKU2_006,FAM2,24,6.67
2022-04,SKU2_006,FAM2,22,6.67
2022-05,SKU2_006,FAM2,26,6.67
2022-06,SKU2_006,FAM2,26,6.67
2022-07,SKU2_006,FAM2,25,6.67
2022-08,SKU2_006,FAM2,23,6.67
2022-09,SKU2_006,FAM2,21,6.67
2022-10,SKU2_006,FAM2,27,6.67
2022-11,SKU2_006,FAM2,26,6.67
2022-12,SKU2_006,FAM2,25,6.67
2023-01,SKU2_006,FAM2,29,6.67
2023-02,SKU2_006,FAM2,22,6.67
2023-03,SKU2_006,FAM2,21,6.67
2023-04,SKU2_006,FAM2,23,6.67
2023-05,SKU2_006,FAM2,24,6.67
2023-06,SKU2_006,FAM2,25,6.67
2023-07,SKU2_006,FAM2,24,6.67
2023-08,SKU2_006,FAM2,25,6.67
2023-09,SKU2_006,FAM2,21,6.67
2023-10,SKU2_006,FAM2,28,6.67
2023-11,SKU2_006,FAM2,24,6.67
2023-12,SKU2_006,FAM2,27,6.67
2024-01,SKU2_006,FAM2,31,6.67
2024-02,SKU2_006,FAM2,25,6.67
2024-03,SKU2_006,FAM2,26,6.67
2024-04,SKU2_006,FAM2,25,6.67
2024-05,SKU2_006,FAM2,26,6.67
2024-06,SKU2_006,FAM2,28,6.67
2024-07,SKU2_006,FAM2,25,6.67
2024-08,SKU2_006,FAM2,27,6.67
2024-09,SKU2_006,FAM2,25,6.67
2024-10,SKU2_006,FAM2,29,6.67
2024-11,SKU2_006,FAM2,24,6.67
2024-12,SKU2_006,FAM2,31,6.67
2022-01,SKU2_007,FAM2,27,6.96
2022-02,SKU2_007,FAM2,26,6.96
2022-03,SKU2_007,FAM2,25,6.96
2022-04,SKU2_007,FAM2,21,6.96
2022-05,SKU2_007,FAM2,25,6.96
2022-06,SKU2_007,FAM2,24,6.96
2022-07,SKU2_007,FAM2,28,6.96
2022-08,SKU2_007,FAM2,28,6.96
2022-09,SKU2_007,FAM2,21,6.96
2022-10,SKU2_007,FAM2,27,6.96
2022-11,SKU2_007,FAM2,28,6.96
2022-12,SKU2_007,FAM2,26,6.96
2023-01,SKU2_007,FAM2,24,6.96
2023-02,SKU2_007,FAM2,31,6.96
2023-03,SKU2_007,FAM2,26,6.96
2023-04,SKU2_007,FAM2,30,6.96
2023-05,SKU2_007,FAM2,28,6.96
2023-06,SKU2_007,FAM2,26,6.96
2023-07,SKU2_007,FAM2,23,6.96
2023-08,SKU2_007,FAM2,24,6.96
2023-09,SKU2_007,FAM2,24,6.96
2023-10,SKU2_007,FAM2,21,6.96
2023-11,SKU2_007,FAM2,26,6.96
2023-12,SKU2_007,FAM2,28,6.96
2024-01,SKU2_007,FAM2,24,6.96
2024-02,SKU2_007,FAM2,29,6.96
2024-03,SKU2_007,FAM2,21,6.96
2024-04,SKU2_007,FAM2,27,6.96
2024-05,SKU2_007,FAM2,29,6.96
2024-06,SKU2_007,FAM2,24,6.96
2024-07,SKU2_007,FAM2,25,6.96
